Store_ID,Month,Dept,IsHoliday,Weekly_Sales,CPI,Unemployment
1,02,1,0,24924.5,211.0963582,8.106
1,02,26,0,11737.12,211.0963582,8.106
1,02,17,0,13223.76,211.0963582,8.106
1,02,79,0,46729.77,211.0963582,8.106
1,02,55,0,21249.31,211.0963582,8.106
1,02,5,0,32229.38,211.0963582,8.106
1,02,74,0,12251.94,211.0963582,8.106
1,02,38,0,115564.35,211.0963582,8.106
1,02,93,0,64494.87,211.0963582,8.106
1,02,23,0,24146.49,211.0963582,8.106
1,02,16,0,10217.55,211.0963582,8.106
1,02,95,0,106690.06,211.0963582,8.106
1,02,2,0,50605.27,211.0963582,8.106
1,02,4,0,39954.04,211.0963582,8.106
1,02,80,0,15694.17,211.0963582,8.106
1,02,8,0,40129.01,211.0963582,8.106
1,02,46,0,20837.77,211.0963582,8.106
1,02,90,0,76419.47,211.0963582,8.106
1,02,14,0,19466.91,211.0963582,8.106
1,02,94,0,56655.39,211.0963582,8.106
1,02,97,0,32153.04,211.0963582,8.106
1,02,49,0,11501.46,211.0963582,8.106
1,02,91,0,62424.14,211.0963582,8.106
1,02,3,0,13740.12,211.0963582,8.106
1,02,32,0,11875.84,211.0963582,8.106
1,02,81,0,30052.75,211.0963582,8.106
1,02,22,0,13623.98,211.0963582,8.106
1,02,82,0,19484.03,211.0963582,8.106
1,02,13,0,41969.29,211.0963582,8.106
1,02,40,0,66780.63,211.0963582,8.106
1,02,25,0,11609.5,211.0963582,8.106
1,02,10,0,30721.5,211.0963582,8.106
1,02,72,0,98499.12,211.0963582,8.106
1,02,92,0,139884.94,211.0963582,8.106
1,02,11,0,24213.18,211.0963582,8.106
1,02,98,0,10891.37,211.0963582,8.106
1,02,3,1,10887.84,211.2421698,8.106
1,02,79,1,36080.86,211.2421698,8.106
1,02,46,1,18826.47,211.2421698,8.106
1,02,13,1,36476.4,211.2421698,8.106
1,02,17,1,13403.66,211.2421698,8.106
1,02,23,1,22812.41,211.2421698,8.106
1,02,87,1,39254.57,211.2421698,8.106
1,02,4,1,35351.21,211.2421698,8.106
1,02,7,1,18310.31,211.2421698,8.106
1,02,14,1,18129.02,211.2421698,8.106
1,02,55,1,18892.81,211.2421698,8.106
1,02,11,1,21760.75,211.2421698,8.106
1,02,98,1,16309.73,211.2421698,8.106
1,02,32,1,14700.59,211.2421698,8.106
1,02,5,1,29620.81,211.2421698,8.106
1,02,9,1,16562.49,211.2421698,8.106
1,02,49,1,16139.05,211.2421698,8.106
1,02,80,1,16720.84,211.2421698,8.106
1,02,82,1,20949.36,211.2421698,8.106
1,02,93,1,70202.02,211.2421698,8.106
1,02,8,1,37334.83,211.2421698,8.106
1,02,81,1,30694.25,211.2421698,8.106
1,02,25,1,13268.75,211.2421698,8.106
1,02,94,1,62329.48,211.2421698,8.106
1,02,40,1,60828.25,211.2421698,8.106
1,02,26,1,10050.92,211.2421698,8.106
1,02,97,1,33874.47,211.2421698,8.106
1,02,38,1,94136.35,211.2421698,8.106
1,02,74,1,11857.96,211.2421698,8.106
1,02,10,1,31494.77,211.2421698,8.106
1,02,34,1,12852.83,211.2421698,8.106
1,02,22,1,14807.95,211.2421698,8.106
1,02,91,1,66937.0,211.2421698,8.106
1,02,95,1,111390.36,211.2421698,8.106
1,02,2,1,44682.74,211.2421698,8.106
1,02,90,1,79455.64,211.2421698,8.106
1,02,1,1,46039.49,211.2421698,8.106
1,02,16,1,11873.89,211.2421698,8.106
1,02,18,1,19006.5,211.2421698,8.106
1,02,67,1,17614.47,211.2421698,8.106
1,02,92,1,143081.42,211.2421698,8.106
1,02,72,1,79636.32,211.2421698,8.106
1,02,3,0,11523.47,211.2891429,8.106
1,02,93,0,62581.64,211.2891429,8.106
1,02,8,0,38717.6,211.2891429,8.106
1,02,7,0,19985.2,211.2891429,8.106
